Unnamed: 0;Name;Family;Born;Sigil;Serves;Known As;Occupation;Relation;Death
;Ryger;Rivers;;;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;;Walder's Bastard;
Ser;Whalen;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;;Walder's Son;
;Walder;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/36/Little_Walder_Frey_coa.png"")";;Little Walder;Catelyn Stark's ward;Merett's Son;
;Amarei;Crakehall;"image(""http://awoiaf.westeros.org/images/e/e4/House_Crakehall.PNG"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;;;Died
;Merett;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;;Walder's Son;
;Walder;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/1/18/Big_Walder_Frey_coa.png"")";;Big Walder;Catelyn Stark's ward;Jammos' Son;
;Ronel;Rivers;;;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;;Walder's Bastard;
;Elmar;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/7/76/Bolton.png"")";;Roose Bolton's squire;Walder's Son;
;061 Jon;;;;;;;;
Ser;Endrew;Tarth;"image(""http://awoiaf.westeros.org/images/f/f3/House_Tarth.PNG"")";"image(""http://awoiaf.westeros.org/images/f/f3/House_Tarth.PNG"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black master-at-arms;;Killed by wildlings at the Battle of the Bridge of Skulls
;Pate;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";Spotted Pate of Maidenpool;Castle Black builder;;Killed by Mag the Mighty at Castle Black
;Rudge;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black steward;;
King;Harren;Hoare;"image(""http://awoiaf.westeros.org/images/5/5d/Hoare.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Hoare.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Hoare.png"")";Black Harren, Harren the Black;King of the Iron Islands;;Historical Character
;062 Daenerys;;;;;;;;
;Mago;;;;;;Jhaqo's bloodrider;;
Khal;Jhaqo;;;;;;Khal;;
;Mirri;Maz Duur;;;;Lamb Woman;Godswife, Maegi;;Killed by Daenerys I Targaryen in the Dothraki Sea
Archmaester;Marwyn;;;;"image(""http://awoiaf.westeros.org/images/7/7c/House_Hightower.png"")";Marwyn the Mage, Mastiff;Oldtown archmaester;;
;063 Tyrion;;;;;;;;
Lord;Leo;Lefford;"image(""http://awoiaf.westeros.org/images/7/71/House_Lefford.PNG"")";"image(""http://awoiaf.westeros.org/images/7/71/House_Lefford.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of the Golden Tooth, Tywin Lannister's baggage train commander;;Died from drowning at the Red Fork
;Podrick;Payne;"image(""http://awoiaf.westeros.org/images/b/bb/House_Payne.png"")";"image(""http://awoiaf.westeros.org/images/b/bb/House_Payne.png"")";"image(""http://awoiaf.westeros.org/images/f/f3/House_Tarth.PNG"")";Pod;Brienne of Tarth's squire, Tyrion Lannister's squire, Cedric Payne's squire, Lorimer the Belly's squire;;Killed by Lem in the Riverlands
;Shae;;;;;;Tyrion's whore;;Killed by Tyrion Lannister in the Tower of the Hand
Lord;Lewys;Lydden;"image(""http://awoiaf.westeros.org/images/e/ec/House_Lydden.PNG"")";"image(""http://awoiaf.westeros.org/images/e/ec/House_Lydden.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Deep Den;;
Lord;;Serrett;"image(""http://awoiaf.westeros.org/images/3/3e/House_Serrett.PNG"")";"image(""http://awoiaf.westeros.org/images/3/3e/House_Serrett.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Silverhill;;
;064 Catelyn;;;;;;;;
;Jon;Umber;"image(""http://awoiaf.westeros.org/images/f/f2/Umbercrest.png"")";"image(""http://awoiaf.westeros.org/images/f/f2/Umbercrest.png"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Smalljon;Robb Stark's wedding feast guard;Jon's Son;Killed by Boltons at the Twins
;Daryn;Hornwood;"image(""http://awoiaf.westeros.org/images/0/01/House_Hornwood.PNG"")";"image(""http://awoiaf.westeros.org/images/0/01/House_Hornwood.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;;Halys' Son;Killed by Jaime Lannister at the Battle of the Whispering Wood
Lady;Dacey;Mormont;"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Robb Stark's wedding feast guard;Maege's Daughter;Killed by Ryman Frey at the Twins
Lord;Gawen;Westerling;"image(""http://awoiaf.westeros.org/images/d/df/House_Westerling.PNG"")";"image(""http://awoiaf.westeros.org/images/d/df/House_Westerling.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of the Crag, Stark captive;;
Lord;Quenten;Banefort;"image(""http://awoiaf.westeros.org/images/a/ac/Banefort.png"")";"image(""http://awoiaf.westeros.org/images/a/ac/Banefort.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Banefort, Stark captive;;
Ser;Garth;Greenfield;"image(""http://awoiaf.westeros.org/images/9/9a/House_Greenfield.PNG"")";"image(""http://awoiaf.westeros.org/images/9/9a/House_Greenfield.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of House Greenfield, Stark captive;;
Lord;Regenard;Estren;"image(""http://awoiaf.westeros.org/images/2/27/House_Estren.PNG"")";"image(""http://awoiaf.westeros.org/images/2/27/House_Estren.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Wyndhall, Stark captive;;
Lord;Tytos;Brax;"image(""http://awoiaf.westeros.org/images/9/93/House_Brax.PNG"")";"image(""http://awoiaf.westeros.org/images/9/93/House_Brax.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Hornvale, Stark captive;Andros' Son;
;Mallor;;;;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";Mallor the Dornishman;Stark captive;;
;065 Daenerys;;;;;;;;
 ;Eroeh;;;;;;;;Killed by Dothraki
Khal;Pono;;;;;;Khal;;
;066 Arya;;;;;;;;
;Buu;;;;;;;;
;067 Bran;;;;;;;;
;Symeon;;;;;Symeon Star-Eyes;;;Historical Character
King;Jon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;King in the North;;Historical Character
King;Rickard;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;King in the North;Jon's Son;Historical Character
King;Theon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Hungry Wolf;King in the North;;Historical Character
King;Brandon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Brandon the Shipwright;King in the North;;Historical Character
King;Brandon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Brandon the Burner;King in the North;Brandon's Son;Historical Character
King;Rodrik;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;King in the North;;Historical Character
King;Torrhen;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";King Who Knelt;King in the North, Lord of Winterfell;;Historical Character
Lord;Cregan;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Lord of Winterfell;;Historical Character
;068 Sansa;;;;;;;;
;069 Daenerys;;;;;;;;
;070 Tyrion;;;;;;;;
Ser;Harys;Swyft;"image(""http://awoiaf.westeros.org/images/6/68/House_Swyft.PNG"")";"image(""http://awoiaf.westeros.org/images/6/68/House_Swyft.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Hand of King Tommen I, Small Council Lord Treasurer, Lord of Cornfield;;
Lord;Andros;Brax;"image(""http://awoiaf.westeros.org/images/9/93/House_Brax.PNG"")";"image(""http://awoiaf.westeros.org/images/9/93/House_Brax.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lord of Hornvale;;Killed by Tullys at the Battle of the Camps
Ser;Forley;Prester;"image(""http://awoiaf.westeros.org/images/e/e8/House_Prester.PNG"")";"image(""http://awoiaf.westeros.org/images/e/e8/House_Prester.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Riverrun siege commander, Edmure Tully's escort commander;;
Lord;Vargo;Hoat;;"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";Crippler, Goat;Lord of Harrenhal (disputed), Brave Companions leader;;Killed by Gregor Clegane at Harrenhal
Ser;Amory;Lorch;"image(""http://awoiaf.westeros.org/images/0/05/House_Lorch.png"")";"image(""http://awoiaf.westeros.org/images/0/05/House_Lorch.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Harrenhal castellan;;Killed by a bear at Harrenhal
;071 Jon;;;;;;;;
;072 Catelyn;;;;;;;;
Maester;Vyman;;;;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;Riverrun maester;;
Lady;Bethany;Redwyne;"image(""http://awoiaf.westeros.org/images/b/b1/House_Redwyne2.png"")";"image(""http://awoiaf.westeros.org/images/d/dc/House_Rowan.PNG"")";"image(""http://awoiaf.westeros.org/images/9/99/House_Tyrell.PNG"")";;Lady of Goldengrove;;
;073 Daenerys;;;;;;;;
ACOK;074 Prologue;;;;;;;;
Maester;Cressen;;;;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;Dragonstone maester;;Committed suicide at Dragonstone
Maester;Pylos;;;;"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;Dragonstone maester;;
Princess;Shireen;Baratheon;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;;Princess;Stannis' Daughter;
;;;;;"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";Patchface;Dragonstone fool;;
;Dalla;;;;;;;;
;Matrice;;;;;;;;
Lord;Steffon;Baratheon;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;Lord of Storm's End;;"Died aboard ""Windproud"" at Shipbreaker Bay"
;Jommy;;;;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;;;Died
Ser;Harbert;;;;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;Storm's End castellan;;Died
Lord;Davos;Seaworth;;"image(""http://awoiaf.westeros.org/images/6/69/Seaworth_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";Davos of Flea Bottom, Davos Shorthand, Onion Knight;"Hand of King Stannis I, Lord of the Rainwood, Admiral of the Narrow Sea, ""Black Betha"" captain";;Killed by Wyman Wanderly at White Harbour
Lord;Gulian;Swann;"image(""http://awoiaf.westeros.org/images/a/a9/House_Swann.PNG"")";"image(""http://awoiaf.westeros.org/images/a/a9/House_Swann.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Lord of Stonehelm;;
Lord;;Penrose;"image(""http://awoiaf.westeros.org/images/1/1b/House_Penrose.PNG"")";"image(""http://awoiaf.westeros.org/images/1/1b/House_Penrose.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Lord of Parchments;;
Lord;Ardrian;Celtigar;"image(""http://awoiaf.westeros.org/images/6/60/Celtigar.png"")";"image(""http://awoiaf.westeros.org/images/6/60/Celtigar.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";The Red Crab;"Lord of Claw Isle, ""Red Claw"" captain";;
Lord;Monford;Velaryon;"image(""http://awoiaf.westeros.org/images/f/f3/House_Velaryon.PNG"")";"image(""http://awoiaf.westeros.org/images/f/f3/House_Velaryon.PNG"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;"Lord of the Tides, Master of Driftmark, ""Pride of Driftmark"" captain";;Killed by Lannisters at the Battle of the Blackwater
Lord;Duram;Bar Emmon;"image(""http://awoiaf.westeros.org/images/e/e7/BarEmmon.png"")";"image(""http://awoiaf.westeros.org/images/e/e7/BarEmmon.png"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;Lord of Sharp Point;;
Prince;Salladhor;Saan;;;"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";Salla;"Lord of Blackwater Bay (disputed), ""Valyrian"" captain, pirate";;
;Morosh;;;;"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";Morosh the Myrman;;;
Lord;Guncer;Sunglass;"image(""http://awoiaf.westeros.org/images/a/a6/Sunglass.png"")";"image(""http://awoiaf.westeros.org/images/a/a6/Sunglass.png"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;Lord of Sweetport Sound;;Killed by Selyse Baratheon's men at Dragonstone
;Melisandre;;;;"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";Melisandre of Asshai, Red Woman;Red priestess;;
Ser;Axell;Florent;"image(""http://awoiaf.westeros.org/images/c/c1/House_Florent.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c1/House_Florent.PNG"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;Dragonstone castellan;Alester's Brother;
;075 Arya;;;;;;;;
;Lommy;;;;;Greenhands;Castle Black recruit, King's Landing apprentice dyer;;Killed by Raff near the Gods Eye
;;;;;;Hot Pie;Castle Black recruit;;
;076 Sansa;;;;;;;;
Lady;Lollys;Stokeworth;"image(""http://awoiaf.westeros.org/images/3/38/CoatBronn.png"")";"image(""http://awoiaf.westeros.org/images/8/8f/Stokeworth.png"")";"image(""http://awoiaf.westeros.org/images/3/38/CoatBronn.png"")";Lollys Lackwit;Lady of Stokeworth;Tanda's Daughter;
Lady;Falyse;Stokeworth;"image(""http://awoiaf.westeros.org/images/8/8f/Stokeworth.png"")";"image(""http://awoiaf.westeros.org/images/8/84/House_Byrch.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;;Tanda's Daughter;Killed by Qyburn in the black cells
Lady;Ermesande;Hayford;"image(""http://awoiaf.westeros.org/images/7/7c/Hayford.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Lady of Hayford;;
Lord;Morros;Slynt;;"image(""http://awoiaf.westeros.org/images/e/ea/House_Slynt.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Lord of House Slynt, squire;Janos' Son;
;077 Tyrion;;;;;;;;
Captain;Vylarr;;;;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Lannister captain of the household guard;;
;Tysha;;;;;;Casterly Rock whore;;
;078 Bran;;;;;;;;
;;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Hayhead;Stark guard;;
;;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Alebelly;Stark guard;;Killed by Greyjoys at Winterfell
;Jammos;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;;Walder's Son;
;Walder;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";Black Walder;;Ryman's Son;
;Walder;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";Red Walder;;Emmon's Son;
;Walder;Rivers;;"image(""http://awoiaf.westeros.org/images/1/17/MiniWalder_Rivers.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";Bastard Walder;Battle of the Camps commander, Lothar Frey's escort commander;Walder's Bastard;
;Waltyr;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";Tyr;;;
;;;;;;Turnip;;Gage's Son;
;Bandy;;;;;;;Joseth's Daughter;
;Shyra;;;;;;;Joseth's Daughter;
;Palla;;;;;;Kennel girl;Farlen's Daughter;
;Calon;;;;;;;Cayn's Son;
;Tomtoo;;;;;;;Tomard's Son;
;079 Arya;;;;;;;;
;Praed;;;;;;Sellsword;;Died of illness on the Kingsroad
;Tarber;;;;;;Castle Black recruit;;
Ser;Malcolm;;;;;;;;
;Lync;;;;;;Castle Black recruit;;Killed by Lannisters near the Gods Eye
;Hod;;;;;;;;
Lord;William;Mooton;"image(""http://awoiaf.westeros.org/images/7/74/House_Mooton.PNG"")";"image(""http://awoiaf.westeros.org/images/7/74/House_Mooton.PNG"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;Lord of Maidenpool;;
;Jaqen;H'ghar;;;;;Lorch man-at-arms, Castle Black recruit;;
;Rorge;;;"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";Mad Dog of Saltpans;Brave Companion, Lorch man-at-arms, Castle Black recruit;;Killed by Brienne of Tarth at Lord Harroway's Town
;;;;"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";"image(""http://awoiaf.westeros.org/images/c/c0/Brave_companions_small.png"")";Biter;Brave Companion, Lorch man-at-arms, Castle Black recruit;;Killed by Gendry at Lord Harroway's Town
;Reysen;;;;;Rey;Castle Black recruit;;Killed by Lannisters near the Gods Eye
;Cutjack;;;;;;Castle Black recruit, King's Landing stonemason;;
;Kurz;;;;;;Castle Black recruit;;Died of injuries from Lannisters near the Gods Eye
;Koss;;;;;;Castle Black recruit;;Killed by Lannisters near the Gods Eye
;Dobber;;;;;;Castle Black recruit;;Killed by Lannisters near the Gods Eye
;080 Jon;;;;;;;;
;Redwyn;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Shadow Tower ranger;;Historical Character
King;Dorren;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;King of the North;;Historical Character
;Conwys;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black recruiter;;
;Thoren;Smallwood;"image(""http://awoiaf.westeros.org/images/f/f2/Smallwood.png"")";"image(""http://awoiaf.westeros.org/images/f/f2/Smallwood.png"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Expedition vanguard commander, First Ranger;;Killed by a wight (bear) at the Fist of the First Men
Ser;Arnell;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black ranger;;
King;Daeron II;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Daeron the Good;King;Aegon IV's Son;Historical Character
King;Aegon IV;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Aegon the Unworthy;"King, ""Blackfyre"" wielder";Viserys II's Son;Historical Character
King;Aerys I;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;King;Daeron II's Son;Historical Character
Prince;Daeron;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Prince;Maekar I's Son;Historical Character
Prince;Aerion;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/thumb/2/2f/House_Targaryen_%28Aerion%29.svg/545px-House_Targaryen_%28Aerion%29.svg.png"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Aerion Brightfire, Aerion Brightflame, Aerion the Monstrous;Prince;Maekar I's Son;Historical Character
;081 Catelyn;;;;;;;;
;Olyvar;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";;Robb Stark's squire;Walder's Son;
Ser;Robin;Ryger;"image(""http://awoiaf.westeros.org/images/4/47/RygerCoA.png"")";"image(""http://awoiaf.westeros.org/images/4/47/RygerCoA.png"")";;;Riverrun captain of the household guard;;
Ser;Cleos;Frey;"image(""http://awoiaf.westeros.org/images/8/82/MiniCleos.png"")";"image(""http://awoiaf.westeros.org/images/8/82/MiniCleos.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;;Emmon's Son;Killed by a horse near Maidenpool
Lady;Galla;Frey;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;;Tytos' Daughter;
;Willem;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Squire, Stark captive;Kevan's Son;Killed by Karstarks at Riverrun
;Tion;Frey;"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/3/3b/House_Frey.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Squire, Stark captive;Emmon's Son;Killed by Karstarks at Riverrun
Ser;Desmond;Grell;"image(""http://awoiaf.westeros.org/images/b/b7/House_Grell.PNG"")";"image(""http://awoiaf.westeros.org/images/b/b7/House_Grell.PNG"")";;;Riverrun master-at-arms, Riverrun castellan;;
Ser;Burton;Crakehall;"image(""http://awoiaf.westeros.org/images/e/e4/House_Crakehall.PNG"")";"image(""http://awoiaf.westeros.org/images/e/e4/House_Crakehall.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;;;Killed by the brotherhood without banners
;Hendry;Bracken;"image(""http://awoiaf.westeros.org/images/5/53/Bracken_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/53/Bracken_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;;;Killed by Lannisters at Stone Henge
Lord;Lyman;Darry;"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;Lord of Castle Darry;;Killed by Gregor Clegane at Castle Darry
Ser;Stafford;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";Uncle Dolt;;;Killed by Rickard Karstark at the Battle of Oxcross
Ser;Daven;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Warden of the West, Riverrun siege commander;Stafford's Son;
;082 Tyrion;;;;;;;;
;Allar;Deem;;"image(""http://awoiaf.westeros.org/images/f/fc/City_watch.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;City Watchman;;Killed by Lannisters in the Narrow Sea
Lord;Jacelyn;Bywater;"image(""http://awoiaf.westeros.org/images/1/1f/Bywater.PNG"")";"image(""http://awoiaf.westeros.org/images/1/1f/Bywater.PNG"")";"image(""http://awoiaf.westeros.org/images/0/04/Tyrion_Lannister_personal_arms.png"")";Ironhand;Lord of Rosby (disputed), Lord Commander of the City Watch, Captain of the Mud Gate;;Killed by Goldcloaks at the Battle of the Blackwater
;083 Arya;;;;;;;;
;Murch;;;;;;Castle Black recruit;;Killed by Lannisters near the Gods Eye
;084 Davos;;;;;;;;
